Rank	Name	RegType	Chrom	Start	End	Strand	ScorePerCodon	NumCodons	Bls	AntiScorePerCodon	ScoreDiff	Parent	SvmScore	SvmAntisenseScore
1	chr17:17167763-17167918+	NoOverlap	chr17	17167763	17167918	+	19.862825	52	0.9756	0.404507692308	19.4583173077	NA	1.08472801626	1.05363599511
2	chr17:7500940-7501110+	NoOverlap	chr17	7500940	7501110	+	23.8321526316	57	1.0	10.2211315789	13.6110210526	NA	1.06980960913	1.05173941717
3	chr17:18123244-18123396+	NoOverlap	chr17	18123244	18123396	+	17.1352019608	51	0.97	9.97338627451	7.16181568627	NA	1.06421360247	0.892806161513
4	chr17:17167235-17167411+	NoOverlap	chr17	17167235	17167411	+	21.2187440678	59	0.9702	0.414574576271	20.8041694915	NA	1.06305861866	1.00163324223
5	chr17:29080802-29081017-	NoOverlap	chr17	29080802	29081017	-	19.2971791667	72	0.9792	9.66076944444	9.63640972222	NA	1.05067263388	0.978487644927
6	chr17:7511406-7511591+	NoOverlap	chr17	7511406	7511591	+	27.0315241935	62	0.9877	16.0218258065	11.0096983871	NA	1.01796735875	0.990561824306
7	chr17:17166554-17166784+	NoOverlap	chr17	17166554	17166784	+	21.853538961	77	0.9589	3.81718961039	18.0363493506	NA	0.999928666693	0.996906714854
8	chr17:7508251-7508484+	NoOverlap	chr17	7508251	7508484	+	25.3979551282	78	0.9616	13.5491974359	11.8487576923	NA	0.983916766978	0.979933176041
9	chr17:7503585-7503794+	NoOverlap	chr17	7503585	7503794	+	28.28198	70	0.9665	14.6687228571	13.6132571429	NA	0.983863162726	0.989536327101
10	chr17:7501526-7501732+	NoOverlap	chr17	7501526	7501732	+	26.8262115942	69	0.9998	10.5097202899	16.3164913043	NA	0.963656724032	1.00426468331
11	chr17:17138263-17138427+	NoOverlap	chr17	17138263	17138427	+	10.7600618182	55	0.9792	1.80141454545	8.95864727273	NA	0.961007019717	1.00479621969
